ppm_norm,asp.4
1.04887,0
1.04925,0
1.04963,0
1.049687131,0
1.05001,0
1.05039,0
1.05077,0
1.050786635,0
1.05116,0
1.05154,0
1.051886138,0.001094609
1.05192,0.014012679
1.0523,0.008694039
1.05268,0.003587594
1.052985642,0
1.05306,0.004381055
1.05345,0.010016625
1.05383,0.018645309
1.054085146,0.005968639
1.05421,0
1.05459,0
1.05497,0
1.055184649,0.005400597
1.05535,0
1.05573,0
1.05612,0
1.056284153,0
1.0565,0
1.05688,0
1.05726,0
1.057383656,0
1.05764,0
1.05802,0
1.05841,0
1.05848316,0
1.05879,0
1.05917,0
1.05955,0
1.059582663,0
1.05993,0
1.06031,0
1.060682167,0
1.0607,0
1.06108,0.004177729
1.06146,0.007363719
1.06178167,0.011969284
1.06184,0
1.06222,0
1.0626,0
1.062881174,0
1.06299,0.002872357
1.06337,0.001919797
1.06375,0
1.063980678,0
1.06413,0
1.06451,0.000521825
1.06489,0.002299465
1.065080181,0.003752139
1.06528,0.001556608
1.06566,0.001407298
1.06604,0
1.066179685,0
1.06642,0
1.0668,0
1.06718,0
1.067279188,0
1.06757,0
1.06795,0
1.06833,0
1.068378692,0
1.06871,0
1.06909,0
1.06947,0
1.069478195,0
1.06986,0
1.07024,0
1.070577699,0
1.07062,0
1.071,0
1.07138,0
1.071677202,0
1.07176,0
1.07215,0
1.07253,0
1.072776706,0
1.07291,0.010510236
1.07329,0.010543306
1.07367,0.010626641
1.07387621,0
1.07405,0
1.07444,0.001431056
1.07482,0.008186878
1.074975713,0.007155251
1.0752,0
1.07558,0
1.07596,0
1.076075217,0
1.07634,0.015611522
1.07673,0.016543074
1.07711,0.005433681
1.07717472,0
1.07749,0
1.07787,0
1.07825,0
1.078274224,0.003036964
1.07863,0.000886854
1.07902,0
1.079373727,0
1.0794,0
1.07978,0.000170546
1.08016,0.000295591
1.080473231,0
1.08054,0
1.08092,0
1.0813,0
1.081572734,0
1.08169,0
1.08207,0
1.08245,0
1.082672238,0
1.08283,0
1.08321,0.000636054
1.08359,0.002688752
1.083771742,0.000183205
1.08398,0
1.08436,0
1.08474,0
1.084871245,0.004739166
1.08512,0.014135533
1.0855,0.014124078
1.08588,0.000685093
1.085970749,0
1.08627,0
1.08665,0
1.08703,0.001473335
1.087070252,0
1.08741,0
1.08779,0
1.088169756,0
1.08817,0
1.08856,0
1.08894,0
1.089269259,0
1.08932,0.00115927
1.0897,0.000545514
1.09008,0
1.090368763,0.011275508
1.09046,0.013725956
1.09085,0.008045533
1.09123,0
1.091468266,0
1.09161,0
1.09199,0.003039341
1.09237,0.010347631
1.09256777,0.006950878
1.09275,0.006294035
1.09314,0.006787984
1.09352,0.00897592
1.093667274,0
1.0939,0
1.09428,0
1.09466,0
1.094766777,3.63E-05
1.09504,1.70E-06
1.09543,0
1.09581,0
1.095866281,0
1.09619,0
1.09657,0
1.09695,0.006126949
1.096965784,0.003478318
1.09733,0.00098225
1.09772,0
1.098065288,0
1.0981,0
1.09848,0.002723484
1.09886,0.004642868
1.099164791,0.003956328
1.09924,0
1.09962,0
1.10001,0
1.100264295,0
1.10039,0.000270958
1.10077,0.000175883
1.10115,0
1.101363799,0
1.10153,0
1.10191,0
