ppm_norm,ile.7
0.937044,0.837510418
0.937426,1.090585864
0.937537768,1.439591409
0.937808,1.702327978
0.938189,1.817636136
0.938571,2.232282027
0.938637272,2.716169406
0.938953,3.005331242
0.939334,3.216665542
0.939716,3.73777728
0.939736776,4.444755676
0.940098,4.924393107
0.940479,5.486284855
0.940836279,7.0235672
0.940861,9.527679057
0.941242,10.89401428
0.941624,13.4975523
0.941935783,18.63555937
0.942006,23.77168431
0.942387,24.67129396
0.942769,27.74118112
0.943035286,29.9066768
0.943151,29.94394298
0.943532,29.71353193
0.943914,27.83173251
0.94413479,24.13849062
0.944296,19.84371223
0.944677,19.80716468
0.945059,15.59746618
0.945234293,11.95495817
0.945441,9.502623025
0.945822,9.150123684
0.946204,7.203917125
0.946333797,5.867520838
0.946585,5.122894938
0.946967,4.886554436
0.947349,4.138917839
0.9474333,3.518049003
0.94773,3.143755958
0.948112,2.934609469
0.948494,2.419725492
0.948532804,2.036389887
0.948875,1.889342419
0.949257,1.755755868
0.949632308,1.533308959
0.949639,1.38077274
0.95002,1.346480043
0.950402,1.296398923
0.950731811,1.253946424
0.950784,1.27057191
0.951165,1.300990749
0.951547,1.375866654
0.951831315,1.54995954
0.951928,1.762531538
0.95231,1.80423073
0.952692,2.002850322
0.952930818,2.24365846
0.953073,2.457129698
0.953455,2.468490342
0.953837,2.658994465
0.954030322,2.878856582
0.954218,3.123693651
0.9546,3.139632033
0.954982,3.505016295
0.955129825,4.088238339
0.955363,4.855122537
0.955745,5.021942354
0.956126,6.45436912
0.956229329,8.455910316
0.956508,10.12733626
0.95689,10.82818939
0.957271,13.10744939
0.957328832,14.82403603
0.957653,15.32631776
0.958035,15.6792343
0.958416,15.5327209
0.958428336,14.43113084
0.958798,13.5972047
0.95918,12.65716013
0.95952784,10.598444
0.959561,8.566579587
0.959943,7.935228175
0.960325,6.777300884
0.960627343,5.366790482
0.960706,4.337181463
0.961088,4.160348231
0.961469,3.586663115
0.961726847,3.030054397
0.961851,2.61686402
0.962233,2.577083112
0.962614,2.280811715
0.96282635,1.980076543
0.962996,1.737628861
0.963378,1.737440053
0.963759,1.571930276
0.963925854,1.454740468
0.964141,1.376746336
0.964523,1.366502009
0.964904,1.311121365
0.965025357,1.273165067
0.965286,1.242657646
0.965668,1.233372647
0.966049,1.203396582
0.966124861,1.19308669
0.966431,1.187817196
0.966812,1.184972616
0.967194,1.165917091
0.967224364,1.133736842
0.967576,1.103064132
0.967957,1.076101824
0.968323868,0.991046257
0.968339,0.901858368
0.968721,0.867128515
0.969102,0.818162117
0.969423372,0.727606546
0.969484,0.639033486
0.969866,0.620333221
0.970247,0.576220518
0.970522875,0.533190833
0.970629,0.490893088
0.971011,0.484460323
0.971392,0.455249719
0.971622379,0.434320428
0.971774,0.414953724
0.972155,0.413466839
0.972537,0.391502796
0.972721882,0.375223622
0.972919,0.366077807
0.9733,0.365555746
0.973682,0.35360589
0.973821386,0.345333299
0.974064,0.34626851
0.974445,0.346461741
0.974827,0.346964479
0.974920889,0.34382885
0.975209,0.347130978
0.97559,0.348469765
0.975972,0.361066655
0.976020393,0.369593961
0.976353,0.371282883
0.976735,0.37242845
0.977117,0.37358826
0.977119897,0.366756127
0.977498,0.356897446
0.97788,0.346144288
0.9782194,0.31874256
0.978262,0.292485585
0.978643,0.283071303
